"JOIN_NO","EXT_KEY"
"1175385","KEY"
"1175394","GKM"
"1175914","KEY"
"1175929","GROS"
"1176068","KEY"
"1176171","KEY"
"1176249","KEY"
"117680","KEY"
"1177183","KEY"
"1177451","KEY"
"1177512","KEY"
"1177643","KEY"
"1178782","KEY"
"1179052","KEY"
"1179240","KEY"
"117965","KEY"
"1179704","KEY"
"1180009","KEY"
"1180018","KEY"
"1180207","KEY"
"1180208","KEY"
"1180258","KEY"
"1180435","KEY"
"118074","KEY"
"118083","SPEZ"
"1181072","KEY"
"1181507","KEY"
"1181534","KEY"
"1181622","KEY"
"1182380","KEY"
"1183011","KEY"
"1183124","KEY"
"1183156","KEY"
"1183381","KEY"
"1183997","KEY"
"1184011","KEY"
"1184068","KEY"
"1185220","KEY"
"1185227","KEY"
"1185317","KEY"
"1186016","KEY"
"1186135","SPEZ"
"1186359","SPEZ"
"1187170","KEY"
"118786","GROS"
"1187954","KEY"
"1188574","KEY"
"1189238","KEY"
"1189336","KEY"
"1189900","KEY"
"1190024","KEY"
"1190247","KEY"
"119118","KEY"
"1191537","KEY"
"1191720","SPEZ"
"1192065","SPEZ"
"1193351","KEY"
"119404","SPEZ"
"1195074","KEY"
"1195718","KEY"
"1195719","KEY"
"1195838","KEY"
"1195840","KEY"
"1195844","KEY"
"1195885","KEY"
"1196837","KEY"
"1197279","KEY"
"1198200","KEY"
"1198311","KEY"
"1198499","KEY"
"1198760","KEY"
"1199411","KEY"
"1199599","KEY"
"1199723","KEY"
"1199883","KEY"
"1200952","KEY"
"1201457","KEY"
"1201800","KEY"
"1202378","KEY"
"1202929","KEY"
"1203371","KEY"
"1203400","KEY"
"1204402","KEY"
"120492","KEY"
"1204959","KEY"
"1205247","KEY"
"1205459","KEY"
"1205709","KEY"
"120588","KEY"
"1206074","KEY"
"1206612","KEY"
"120688","KEY"
"120696","KEY"
"120723","GKM"
"1207277","KEY"
"1207680","KEY"
"1208087","KEY"
"1209217","KEY"
"1209265","KEY"
"120998","KEY"
"121000","KEY"
"1210070","KEY"
"1210166","KEY"
"1210334","KEY"
"1211061","KEY"
"1211062","KEY"
"1211200","KEY"
"1212380","KEY"
"1212453","KEY"
"1212547","KEY"
"1212568","KEY"
"1213056","KEY"
"1213077","KEY"
"1213633","KEY"
"1214245","SPEZ"
"121457","KEY"
"1214594","KEY"
"1214802","KEY"
"1214860","KEY"
"1214875","KEY"
"1215027","KEY"
"1215465","KEY"
"1215510","KEY"
"1215595","KEY"
"1215714","KEY"
"1215716","KEY"
"1215848","KEY"
"1215870","KEY"
"1216013","KEY"
"1216022","KEY"
"1216058","KEY"
"1216076","KEY"
"1216296","KEY"
"1216457","KEY"
"1217046","KEY"
"1217114","GKM"
"1217326","KEY"
"1217609","KEY"
"1218022","KEY"
"1218061","KEY"
"1218170","KEY"
"1218417","KEY"
"1218591","KEY"
"1218702","KEY"
"1218805","KEY"
"1219229","KEY"
"1219376","KEY"
"1219515","KEY"
"1219533","KEY"
"121980","KEY"
"1220080","KEY"
"122148","KEY"
"1222330","GROS"
"1222483","KEY"
"1222528","KEY"
"1222802","KEY"
"122295","KEY"
"1223036","KEY"
"1223145","KEY"
"1223160","KEY"
"1223307","GROS"
"1223504","KEY"
"1223631","KEY"
"1223692","KEY"
"1223922","KEY"
"1223981","KEY"
"1224367","KEY"
"1224626","KEY"
"1224993","KEY"
"1225075","KEY"
"1225779","KEY"
"1225912","KEY"
"1225922","KEY"
"1226017","KEY"
"1226115","KEY"
"1226637","KEY"
"1226871","KEY"
"1226884","KEY"
"1226890","KEY"
"1226973","KEY"
"1227033","KEY"
"1227137","KEY"
"1227203","KEY"
"1228151","KEY"
"1228182","KEY"
"1228238","GROS"
"1228423","KEY"
"1228611","KEY"
"1228687","KEY"
"1228777","KEY"
"122937","KEY"
"122945","KEY"
"1229731","GKM"
"1230074","KEY"
"1230083","KEY"
"1230106","KEY"
"1230187",""
"1230256","KEY"
"1230277","KEY"
"1230301","KEY"
"1230346","SPEZ"
"1230358","KEY"
"1230434","KEY"
"1230534","KEY"
"1230689","KEY"
"1230695","KEY"
"1230738","KEY"
"123123","KEY"
"1231374","KEY"
"1231399","KEY"
"1231478","KEY"
"1231518","KEY"
"1231703","GKM"
"1232048","KEY"
"1232084","KEY"
"1232132","KEY"
"1232150","KEY"
"1232624","KEY"
"1232697","GKM"
"1232908","KEY"
"1232970","KEY"
"1234023","KEY"
"1234309","SPEZ"
"1234653","KEY"
"1234709","KEY"
"123497","KEY"
"1235302","KEY"
"1235331","KEY"
"1235382","KEY"
"1235390","KEY"
"1235559","SPEZ"
"1235580","KEY"
"1236144","KEY"
"1236242","KEY"
"1236254","GKM"
"1236284","KEY"
"1237246","KEY"
"1237597","KEY"
"1238351","KEY"
"1238611","KEY"
"123998","KEY"
"1240113","KEY"
"1240214","KEY"
"1240453","KEY"
"1240841","SPEZ"
"1240928","KEY"
"1240945","KEY"
"1241117","KEY"
"1241246","KEY"
"124137","KEY"
"1241566","KEY"
"1241669","KEY"
"1241954","SPEZ"
"1242005","KEY"
"1242443","KEY"
"1242475","KEY"
"1242532","KEY"
"1242668","KEY"
"1242767","KEY"
"1242984","KEY"
"1243143","KEY"
"124352","KEY"
"1244513","KEY"
"1244754","KEY"
"1245517","KEY"
"1245959","KEY"
"1246465","KEY"
"1246912","KEY"
"1246999","KEY"
"1247042","KEY"
"1247337","KEY"
"1247391","KEY"
"1247690","KEY"
"1247822","KEY"
"1247823","KEY"
"1247828","KEY"
"1247987","KEY"
"1248114","KEY"
"124825","KEY"
"1248353","SPEZ"
"1248700","KEY"
"1248827","KEY"
"1248985","KEY"
"1249180","KEY"
"1249378","KEY"
"1249409","KEY"
"124941","KEY"
"124956","KEY"
"1249997","KEY"
"1250327","KEY"
"1250335","GKM"
"1250972","KEY"
"1251001","KEY"
"1251134","KEY"
"1251145","KEY"
"1251146","KEY"
